relative_velocity_m_s,force_n
-3.437343065793159180e-01,-1.856859740259740210e+00
-3.573909470361995577e-01,-1.848544155844155767e+00
-3.687904947978932202e-01,-1.840183116883116865e+00
-3.782198684273447298e-01,-1.831861038961039023e+00
-3.851749110210885285e-01,-1.823461038961038838e+00
-3.903660875921384776e-01,-1.815148051948051844e+00
-3.929613343079456089e-01,-1.806693506493506574e+00
-3.930050552318233859e-01,-1.798079220779220666e+00
-3.904637765314278308e-01,-1.789264935064935003e+00
-3.836931815852934191e-01,-1.779754545454545367e+00
-3.729521802395087127e-01,-1.769581818181818145e+00
-3.556455257782666357e-01,-1.757953246753246823e+00
-3.320512559518523643e-01,-1.744922077922077985e+00
-3.055468121298238193e-01,-1.731509090909090887e+00
-2.794051153480937022e-01,-1.718789610389610534e+00
-2.508642328685708467e-01,-1.706297402597402701e+00
-2.207248041097668589e-01,-1.695541558441558516e+00
-1.893728028527902896e-01,-1.689484415584415533e+00
-1.569933598846860734e-01,-1.699001298701298790e+00
-1.301111399547761893e-01,-1.734403896103896114e+00
-1.095896313096466068e-01,-1.757109090909090954e+00
-9.346822376915353559e-02,-1.767994805194805119e+00
-7.980885075452753830e-02,-1.773240259740259672e+00
-6.842706461815917240e-02,-1.776138961038961073e+00
-5.811575797736079352e-02,-1.777114285714285646e+00
-4.911129707684641632e-02,-1.777170129870129900e+00
-4.139523715185505770e-02,-1.776844155844155893e+00
-3.393740393351690754e-02,-1.775123376623376714e+00
-2.793055887637224677e-02,-1.773783116883116850e+00
-2.215529808789273858e-02,-1.771455844155844117e+00
-1.708025522089307024e-02,-1.768874025974025876e+00
-1.303606976219923164e-02,-1.766680519480519518e+00
-9.129878469494423499e-03,-1.763815584415584503e+00
-6.685605568952701638e-03,-1.762225974025974029e+00
-5.055634875634484882e-03,-1.761293506493506467e+00
-4.499559375064021705e-03,-1.761566233766233669e+00
-5.691637690169004671e-03,-1.764249350649350623e+00
-8.010896073997686440e-03,-1.768812987012986948e+00
-1.229622975345495695e-02,-1.776693506493506547e+00
-1.748125806958450434e-02,-1.786742857142857188e+00
-2.070499306613471369e-02,-1.795033766233766315e+00
-2.115108311757513126e-02,-1.800024675324675361e+00
-2.005396118401725492e-02,-1.802907792207792292e+00
-1.790070568303692156e-02,-1.804055844155844079e+00
-1.507387469856474871e-02,-1.803785714285714326e+00
-1.251688379115067917e-02,-1.803301298701298627e+00
-1.008490740044942768e-02,-1.802453246753246807e+00
-7.982887357138424012e-03,-1.801563636363636256e+00
-6.025009734736908040e-03,-1.800436363636363613e+00
-4.380009973835752302e-03,-1.799344155844155857e+00
-2.974109015391135369e-03,-1.798248051948051929e+00
-1.870838826912968322e-03,-1.797289610389610326e+00
-1.333208091103432746e-03,-1.796912987012986962e+00
-1.140562770267083970e-03,-1.796918181818181859e+00
-1.738309776408486496e-03,-1.798018181818181738e+00
-2.809472411413937998e-03,-1.799925974025974096e+00
-4.673759931139609414e-03,-1.803199999999999914e+00
-7.128279923215075087e-03,-1.807711688311688381e+00
-1.021197133546930536e-02,-1.813636363636363713e+00
-1.363586618664736072e-02,-1.820677922077922117e+00
-1.703653429701540434e-02,-1.828379220779220660e+00
-2.022611232178594953e-02,-1.836458441558441512e+00
-2.275577765177644318e-02,-1.844231168831168777e+00
-2.441034136477593375e-02,-1.851266233766233782e+00
-2.311715841320366449e-02,-1.854506493506493436e+00
-1.847795850611066992e-02,-1.852770129870129789e+00
-1.217872977053341410e-02,-1.847688311688311602e+00
-7.974006544475775726e-03,-1.844244155844155797e+00
-4.993469186995724840e-03,-1.841658441558441606e+00
